v8-version,6,1,534,48,0
code-creation,Builtin,5,15091,0x1c1776b942a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,15095,0x1c1776b94420,2296,"RecordWriteStub"
code-creation,Stub,3,15100,0x1c1776b94d20,2292,"RecordWriteStub"
code-creation,Stub,3,15104,0x1c1776b95620,2254,"RecordWriteStub"
code-creation,Stub,3,15109,0x1c1776b95f00,2292,"RecordWriteStub"
code-creation,Handler,4,15114,0x1c1776b96800,256,"An IC handler from the snapshot"
code-creation,Stub,3,15119,0x1c1776b96900,2291,"RecordWriteStub"
code-creation,Stub,3,15123,0x1c1776b97200,980,"RecordWriteStub"
code-creation,Stub,3,15128,0x1c1776b975e0,2238,"RecordWriteStub"
code-creation,Stub,3,15133,0x1c1776b97ea0,2266,"RecordWriteStub"
code-creation,Stub,3,15138,0x1c1776b98780,189,"DoubleToIStub"
code-creation,Stub,3,15143,0x1c1776b98840,2270,"RecordWriteStub"
code-creation,Handler,4,15148,0x1c1776b99120,308,"An IC handler from the snapshot"
code-creation,Stub,3,15153,0x1c1776b99260,2280,"RecordWriteStub"
code-creation,Stub,3,15157,0x1c1776b99b60,2265,"RecordWriteStub"
code-creation,Stub,3,15161,0x1c1776b9a440,2229,"RecordWriteStub"
code-creation,Stub,3,15164,0x1c1776b9ad00,1412,"RecordWriteStub"
code-creation,Stub,3,15169,0x1c1776b9b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,15173,0x1c1776b9bbc0,978,"RecordWriteStub"
code-creation,Stub,3,15178,0x1c1776b9bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,15183,0x1c1776b9c880,2266,"RecordWriteStub"
code-creation,Stub,3,15187,0x1c1776b9d160,2296,"RecordWriteStub"
code-creation,Stub,3,15192,0x1c1776b9da60,978,"RecordWriteStub"
code-creation,Stub,3,15197,0x1c1776b9de40,2250,"RecordWriteStub"
code-creation,Stub,3,15202,0x1c1776b9e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,15206,0x1c1776b9e900,183,"DoubleToIStub"
code-creation,Stub,3,15211,0x1c1776b9e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,15216,0x1c1776b9f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,15220,0x1c1776b9fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,15239,0x1c1776ba04a0,2242,"RecordWriteStub"
code-creation,Stub,3,15244,0x1c1776ba0d80,980,"RecordWriteStub"
code-creation,Handler,4,15249,0x1c1776ba1160,780,"An IC handler from the snapshot"
code-creation,Stub,3,15254,0x1c1776ba1480,2265,"RecordWriteStub"
code-creation,Stub,3,15259,0x1c1776ba1d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,15264,0x1c1776ba1f60,2292,"RecordWriteStub"
code-creation,Stub,3,15269,0x1c1776ba2860,2269,"RecordWriteStub"
code-creation,Stub,3,15275,0x1c1776ba3140,974,"RecordWriteStub"
code-creation,Stub,3,15280,0x1c1776ba3520,2280,"RecordWriteStub"
code-creation,Stub,3,15285,0x1c1776ba3e20,2275,"RecordWriteStub"
code-creation,Stub,3,15290,0x1c1776ba4720,2296,"RecordWriteStub"
code-creation,Stub,3,15295,0x1c1776ba5020,2254,"RecordWriteStub"
code-creation,Stub,3,15299,0x1c1776ba5900,2254,"RecordWriteStub"
code-creation,Stub,3,15304,0x1c1776ba61e0,591,"StringAddStub"
code-creation,Stub,3,15309,0x1c1776ba6440,1872,"StringAddStub"
code-creation,Builtin,5,15314,0x1c1776ba6ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,15318,0x1c1776ba6ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,15322,0x1c1776ba7440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,15327,0x1c1776ba7540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,15332,0x1c1776ba76c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,15337,0x1c1776ba7800,2238,"RecordWriteStub"
code-creation,Stub,3,15341,0x1c1776ba80c0,2300,"RecordWriteStub"
code-creation,Stub,3,15345,0x1c1776ba89c0,2245,"RecordWriteStub"
code-creation,Stub,3,15350,0x1c1776ba92a0,2291,"RecordWriteStub"
code-creation,Stub,3,15365,0x1c1776ba9ba0,2270,"RecordWriteStub"
code-creation,Stub,3,15371,0x1c1776baa480,2254,"RecordWriteStub"
